reference_date,target,horizon,location,output_type,output_type_id,value
2026-04-05,weekly incident influenza cases,0,SE,mean,,223.000000
2026-04-05,weekly incident influenza cases,1,SE,mean,,223.000000
2026-04-05,weekly incident influenza cases,2,SE,mean,,223.000000
2026-04-05,weekly incident influenza cases,3,SE,mean,,223.000000
2026-04-05,weekly incident influenza cases,0,SE-M,mean,,17.000000
2026-04-05,weekly incident influenza cases,1,SE-M,mean,,17.000000
2026-04-05,weekly incident influenza cases,2,SE-M,mean,,17.000000
2026-04-05,weekly incident influenza cases,3,SE-M,mean,,17.000000
2026-04-05,weekly incident influenza cases,0,SE-O,mean,,39.000000
2026-04-05,weekly incident influenza cases,1,SE-O,mean,,39.000000
2026-04-05,weekly incident influenza cases,2,SE-O,mean,,39.000000
2026-04-05,weekly incident influenza cases,3,SE-O,mean,,39.000000
