reference_date,target,horizon,location,output_type,output_type_id,value
2026-01-11,weekly incident influenza cases,0,SE,mean,,2227.000000
2026-01-11,weekly incident influenza cases,1,SE,mean,,2227.000000
2026-01-11,weekly incident influenza cases,2,SE,mean,,2227.000000
2026-01-11,weekly incident influenza cases,3,SE,mean,,2227.000000
2026-01-11,weekly incident influenza cases,0,SE-M,mean,,190.000000
2026-01-11,weekly incident influenza cases,1,SE-M,mean,,190.000000
2026-01-11,weekly incident influenza cases,2,SE-M,mean,,190.000000
2026-01-11,weekly incident influenza cases,3,SE-M,mean,,190.000000
2026-01-11,weekly incident influenza cases,0,SE-O,mean,,281.000000
2026-01-11,weekly incident influenza cases,1,SE-O,mean,,281.000000
2026-01-11,weekly incident influenza cases,2,SE-O,mean,,281.000000
2026-01-11,weekly incident influenza cases,3,SE-O,mean,,281.000000
