reference_date,target,horizon,location,output_type,output_type_id,value
2026-02-08,weekly incident influenza cases,0,SE,mean,,1107.000000
2026-02-08,weekly incident influenza cases,1,SE,mean,,1107.000000
2026-02-08,weekly incident influenza cases,2,SE,mean,,1107.000000
2026-02-08,weekly incident influenza cases,3,SE,mean,,1107.000000
2026-02-08,weekly incident influenza cases,0,SE-M,mean,,189.000000
2026-02-08,weekly incident influenza cases,1,SE-M,mean,,189.000000
2026-02-08,weekly incident influenza cases,2,SE-M,mean,,189.000000
2026-02-08,weekly incident influenza cases,3,SE-M,mean,,189.000000
2026-02-08,weekly incident influenza cases,0,SE-O,mean,,203.000000
2026-02-08,weekly incident influenza cases,1,SE-O,mean,,203.000000
2026-02-08,weekly incident influenza cases,2,SE-O,mean,,203.000000
2026-02-08,weekly incident influenza cases,3,SE-O,mean,,203.000000
