reference_date,target,horizon,location,output_type,output_type_id,value
2026-03-08,weekly incident influenza cases,0,SE,mean,,1252.000000
2026-03-08,weekly incident influenza cases,1,SE,mean,,1252.000000
2026-03-08,weekly incident influenza cases,2,SE,mean,,1252.000000
2026-03-08,weekly incident influenza cases,3,SE,mean,,1252.000000
2026-03-08,weekly incident influenza cases,0,SE-M,mean,,156.000000
2026-03-08,weekly incident influenza cases,1,SE-M,mean,,156.000000
2026-03-08,weekly incident influenza cases,2,SE-M,mean,,156.000000
2026-03-08,weekly incident influenza cases,3,SE-M,mean,,156.000000
2026-03-08,weekly incident influenza cases,0,SE-O,mean,,185.000000
2026-03-08,weekly incident influenza cases,1,SE-O,mean,,185.000000
2026-03-08,weekly incident influenza cases,2,SE-O,mean,,185.000000
2026-03-08,weekly incident influenza cases,3,SE-O,mean,,185.000000
